UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2019,19,4332940,2216058,2116882,1626291,1542804,336868,326719,33934,32404,120612,119157,6133,5760,92220,90038,1710185,1624294,383406,372964,56842,54646,153820,151332,13137,12640,1699561,1624428,1175778,1113549,311032,302052,18884,18060,115443,114300,4380,4095,74044,72372,1243302,1179228,349051,339907,34380,33243,143556,141392,9725,9317,516497,492454,450513,429255,25836,24667,15050,14344,5169,4857,1753,1665,18176,17666,466883,445066,34355,33057,22462,21403,10264,9940,3412,3323
R,7,2019,20,4271736,2183708,2088028,1606962,1526575,329245,319822,32824,31789,118915,117247,6034,5584,89728,87011,1688398,1605331,374139,364074,55362,53900,151258,148142,13198,12293,1682812,1609113,1169993,1108999,304105,295864,18402,17858,113806,112401,4289,3996,72217,69995,1235712,1172489,340901,332256,33907,33139,141115,138299,9762,9131,500896,478915,436969,417576,25140,23958,14422,13931,5109,4846,1745,1588,17511,17016,452686,432842,33238,31818,21455,20761,10143,9843,3436,3162
R,7,2019,21,4279639,2187024,2092615,1606334,1526226,331381,322163,32863,31904,123472,122066,6051,5653,86923,84603,1684944,1602904,374551,364742,55194,53725,154614,151965,12847,12094,1690987,1620106,1173022,1113644,306776,298757,18322,18094,118518,117252,4386,4051,69963,68308,1236425,1175716,342198,333764,33688,33319,144845,142511,9638,8995,496037,472509,433312,412582,24605,23406,14541,13810,4954,4814,1665,1602,16960,16295,448519,427188,32353,30978,21506,20406,9769,9454,3209,3099
R,7,2019,22,4300428,2195313,2105115,1611095,1534852,330778,322628,32675,31416,130264,127887,6080,5598,84421,82734,1687469,1609454,371950,363702,55091,53536,160738,157185,12762,12135,1701517,1635893,1179803,1124727,306426,299782,18158,17766,125291,123159,4381,4053,67458,66406,1240999,1184674,339790,333338,33535,33124,151009,147890,9499,9077,493796,469222,431292,410125,24352,22846,14517,13650,4973,4728,1699,1545,16963,16328,446470,424780,32160,30364,21556,20412,9729,9295,3263,3058
R,7,2019,23,4344427,2222324,2122103,1630626,1546108,331583,324079,32843,31229,138140,134468,6271,5897,82861,80322,1705478,1618502,371366,363278,55465,53299,168123,163262,12878,12385,1728920,1653686,1198876,1136127,307566,301461,18401,17644,133278,129702,4525,4242,66274,64510,1258860,1194377,339837,333405,33975,33014,158660,154039,9649,9321,493404,468417,431750,409981,24017,22618,14442,13585,4862,4766,1746,1655,16587,15812,446618,424125,31529,29873,21490,20285,9463,9223,3229,3064
R,7,2019,24,4447744,2278481,2169263,1663677,1573196,349853,339350,33456,32037,143657,139490,6519,6220,81319,78970,1736597,1643827,388305,377718,56530,54246,173106,167754,13348,12828,1778001,1696189,1225414,1159182,325168,316090,18983,18165,138621,134768,4749,4508,65066,63476,1283768,1216040,356265,347285,35125,33881,163664,158671,10040,9687,500480,473074,438263,414014,24685,23260,14473,13872,5036,4722,1770,1712,16253,15494,452829,427787,32040,30433,21405,20365,9442,9083,3308,3141
R,7,2019,25,4543038,2327711,2215327,1691990,1597162,366296,355211,34138,32927,149686,145690,6589,6386,79012,77951,1762485,1666607,402698,392277,57312,55752,178658,173635,13538,13049,1820908,1738740,1247356,1179967,341249,331636,19664,18878,144799,140900,4849,4690,62991,62669,1303554,1235816,370544,361792,35891,35141,169349,164577,10255,9888,506803,476587,444634,417195,25047,23575,14474,14049,4887,4790,1740,1696,16021,15282,458931,430791,32154,30485,21421,20611,9309,9058,3283,3161
R,7,2019,26,4616374,2368663,2247711,1717998,1616301,378621,364093,35518,33648,153723,152299,6828,6442,75975,74928,1785535,1682790,412835,398916,58441,56368,181890,179364,13582,13017,1857105,1771550,1269219,1199085,352975,340543,20415,19607,148898,147496,4987,4720,60611,60099,1323123,1252437,380367,368591,36483,35779,172961,170579,10312,9874,511558,476161,448779,417216,25646,23550,15103,14041,4825,4803,1841,1722,15364,14829,462412,430353,32468,30325,21958,20589,8929,8785,3270,3143
R,7,2019,27,4740168,2424801,2315367,1760558,1663042,385003,374702,36950,34357,160538,161972,7090,6608,74662,74686,1826485,1728838,417240,408399,60242,57050,188761,189995,14008,13443,1904645,1832619,1304649,1241044,358947,349777,21245,20245,155548,156959,5103,4865,59153,59729,1356835,1293699,384288,376675,37588,36394,179666,180841,10570,10159,520156,482748,455909,421998,26056,24925,15705,14112,4990,5013,1987,1743,15509,14957,469650,435139,32952,31724,22654,20656,9095,9154,3438,3284
R,7,2019,28,4826067,2455744,2370323,1784901,1700622,386607,382975,36873,33858,168420,172912,7762,7037,71181,72919,1846832,1764208,416637,415712,59098,55894,196539,201123,14876,14055,1938901,1893641,1333577,1285812,359720,357033,20996,20047,163094,167521,5645,5228,55869,58000,1382006,1336288,382961,382947,36379,35566,187115,191518,11229,10813,516843,476682,451324,414810,26887,25942,15877,13811,5326,5391,2117,1809,15312,14919,464826,427920,33676,32765,22719,20328,9424,9605,3647,3242
